id;codigo;longitude;latitude
34645;1;-45.001691;-23.327449
34650;2;-46.288646;-23.975572
47560;3;-50.34697;-28.061427
47560;4;-48.770025;-25.795346
47560;5;-48.636461;-27.113775
47560;6;-48.556586;-25.793737
47560;7;-46.812912;-24.070898
47560;8;-46.501415;-23.94617
47560;9;-46.497252;-24.016347
47560;10;-46.391254;-24.009637
47560;11;-43.471631;-22.935203
47560;12;-43.256421;-22.965045
47560;13;-43.232477;-22.96766
47560;14;-43.208997;-22.950041
6452;15;-41.0875;-20.5194
6452;16;-40.826542;-20.271172
6452;17;-40.826171;-20.584154
6452;18;-40.826171;-20.584153
6452;19;-40.775442;-19.799843
6452;20;-40.775;-19.797222
6452;21;-40.749444;-20.635278
6452;22;-40.7461;-20.0406
6452;23;-40.6592;-20.3633
6452;24;-40.6569;-19.7389
6452;25;-40.639274;-19.873867
6452;26;-40.6035;-19.9485
6452;27;-40.6003;-19.9356
6452;28;-40.553056;-19.9075
6452;29;-40.5417;-19.875
6452;30;-40.530278;-19.971389
6452;31;-40.520665;-20.037474
6452;32;-39.847616;-18.442394
6452;33;-39.803889;-18.263889
6452;34;-39.7322;-18.5933
6490;35;-41.8995;-21.9166
6490;36;-41.833333;-21.883333
6490;37;-41.7798;-21.8146
6490;38;-41.430767;-21.802439
6490;39;-40.826542;-20.271172
6490;40;-40.6592;-20.3633
6490;41;-40.6003;-19.9356
6490;42;-40.530278;-19.971389
6490;43;-40.53;-19.9717
6490;44;-40.520665;-20.037474
6493;45;-41.908268;-21.899407
6493;46;-41.891369;-21.890232
6493;47;-41.87698;-21.9042
6499;48;-43.4161;-20.3778
6499;49;-43.328623;-20.366376
6501;50;-40.826171;-20.584154
6501;51;-40.775442;-19.799843
6501;52;-40.775;-19.797222
6501;53;-40.583333;-19.984167
6501;54;-40.553056;-19.9075
6501;55;-40.54296;-19.887129
6501;56;-40.530278;-19.971389
6501;57;-40.520665;-20.037474
6636;58;-43.886545;-21.700832
6636;59;-43.8839;-21.6844
6636;60;-43.8833;-21.7167
6636;61;-43.8833;-21.6833
6636;62;-43.88;-21.68
6636;63;-40.639274;-19.873867
6636;64;-40.633333;-19.915556
6636;65;-40.6;-19.936111
6636;66;-40.553056;-19.9075
6637;67;-50.609383;-24.982509
6637;68;-50.58;-25.02
6637;69;-49.286404;-25.499471
6637;70;-49.27;-26.19
6637;71;-49.228611;-26.278333
6637;72;-49.223571;-26.130811
6637;73;-49.21;-25.53
6637;74;-49.140833;-26.187222
6637;75;-49.06;-25.44
6637;76;-49.057475;-25.466451
6637;77;-49.055798;-25.663989
6637;78;-49.017019;-25.48392
6637;79;-49.010726;-25.374262
6637;80;-48.878725;-25.350599
6637;81;-48.851694;-25.281051
6637;82;-48.844939;-25.489927
6637;83;-48.82822;-25.51383
6637;84;-43.878938;-21.694176
6637;85;-41.110977;-20.525318
6749;86;-43.208997;-22.950041
6779;87;-40.553056;-19.9075
6793;88;-45.003122;-23.321454
6793;89;-45.001691;-23.327448
6793;90;-45.001691;-23.32007
6801;91;-45.025676;-23.38201
6801;92;-44.837618;-23.376443
6801;93;-42.893983;-20.215257
6801;94;-42.5931;-22.721813
6801;95;-40.683333;-19.931111
6801;96;-40.530278;-19.971389
6801;97;-40.108842;-19.381021
1465;98;-43.451701;-19.979642
1465;99;-43.41547;-20.074793
16762;100;-40.108842;-19.381021
16762;101;-40.063611;-19.1375
16762;102;-39.934817;-19.161753
16762;103;-39.732222;-18.593333
16762;104;-39.186545;-14.184648
16762;105;-39.169971;-15.213284
1751;106;-42.200947;-16.61403
1751;107;-41.854355;-16.600844
1751;108;-41.517788;-16.581306
1751;109;-40.317029;-16.192847
34583;110;-41.922273;-21.968096
34583;111;-41.908268;-21.899407
34583;112;-41.891369;-21.890232
34628;113;-40.063611;-19.1375
34628;114;-39.934817;-19.161753
